SubjID,SentenceID,SentenceLen,Failures,OutofSeq,NetFailure,NetSuccess,Depth_1,Depth_2
0,16,16,15,0,15,6.25,0,1
0,17,11,11,1,10,9.09,0,0
0,18,8,8,0,8,0,0,0
0,19,13,13,0,13,0,0,0
0,20,13,12,0,12,7.69,1,0
0,21,5,5,0,5,0,0,0
0,22,33,33,4,29,12.12,0,0
0,23,10,10,0,10,0,0,0
0,24,17,17,1,16,5.88,0,0
0,25,25,22,4,18,28,2,1
0,26,15,15,3,12,20,0,0
0,27,28,26,0,26,7.14,1,1
0,28,25,25,0,25,0,0,0
0,29,8,8,0,8,0,0,0
0,30,16,15,0,15,6.25,1,0
0,31,8,8,0,8,0,0,0
0,32,18,18,2,16,11.11,0,0
0,33,7,6,0,6,14.29,1,0
0,34,11,11,0,11,0,0,0
0,35,20,19,0,19,5,0,0
0,36,7,7,0,7,0,0,0
